,Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago
0,0.0,Wed May 23 17:00:35 +0000 2018,0.0,1.0,0.0,Facing Facts https://t.co/YnpWN0NVTW,1
1,-0.5994,Wed May 23 17:00:30 +0000 2018,0.495,0.505,0.0,Facing Facts: Facebook’s Fight Against Misinformation https://t.co/4kqNV352tJ,2
2,-0.25,Wed May 23 17:00:07 +0000 2018,0.273,0.727,0.0,Hard Questions: What’s Facebook’s Strategy for Stopping False News? https://t.co/euHyRv874Y,3
3,0.6808,Wed May 23 16:00:31 +0000 2018,0.0,0.616,0.384,New Tools to Support Group Admins and Keep Communities Safe https://t.co/oYHdLKnhyk,4
4,0.0,Wed May 23 13:00:47 +0000 2018,0.0,1.0,0.0,Find Home Service Professionals with Marketplace https://t.co/fmgC99BUcc,5
5,0.5719,Thu May 17 16:15:49 +0000 2018,0.0,0.657,0.343,Helping Buffalo Small Business Grow with ‘Ignite Buffalo’ Grant Program https://t.co/FoqYDAwNus,6
6,0.0,Thu May 17 13:00:32 +0000 2018,0.0,1.0,0.0,Announcing New Election Partnership with the Atlantic Council https://t.co/piSxpTDJfa,7
7,0.0,Tue May 15 14:00:59 +0000 2018,0.0,1.0,0.0,Facebook Publishes Enforcement Numbers for the First Time https://t.co/QT3dAvvqSn,8
8,-0.5994,Tue May 15 14:00:33 +0000 2018,0.274,0.726,0.0,Hard Questions: How Do We Measure Our Efforts to Keep Bad Content off Facebook? https://t.co/2r8jUzY0o6,9
9,0.3818,Tue May 15 13:59:57 +0000 2018,0.0,0.658,0.342,Reinforcing Our Commitment to Transparency https://t.co/p6P1CspE8y,10
10,0.0,Tue May 15 05:00:07 +0000 2018,0.0,1.0,0.0,The Facebook Youth Portal and our Ongoing Work with Teens https://t.co/uuJFwgQKwM,11
11,0.4215,Mon May 14 20:30:34 +0000 2018,0.0,0.641,0.359,Reporting Made Easier in Messenger https://t.co/ZJJLnPmjcD,12
12,0.0,Mon May 14 10:00:57 +0000 2018,0.0,1.0,0.0,An Update on Our App Investigation and Audit https://t.co/EOAqOWeunO,13
13,0.0,Thu May 10 14:08:05 +0000 2018,0.0,1.0,0.0,Russian Ads Released by Congress https://t.co/aul9thMS76,14
14,0.0,Tue May 08 20:05:28 +0000 2018,0.0,1.0,0.0,Jeff Zients Joins Facebook Board of Directors https://t.co/hezvDaYIMa,15
15,0.4019,Tue May 08 11:24:08 +0000 2018,0.0,0.649,0.351,Moms Help Local Communities Grow https://t.co/HJAXl10ibs,16
16,-0.1027,Mon May 07 20:25:56 +0000 2018,0.149,0.851,0.0,Hard Questions: Why Does Facebook Enable End-to-End Encryption? https://t.co/fTRrrVAS21,17
17,0.7506,Thu May 03 13:00:57 +0000 2018,0.0,0.686,0.314,Facebook Community Boost Celebrates Small Business Week Confirms Dates and Announces 13 New U.S. Cities https://t.co/Uo15PawGGL,18
18,0.0,Wed May 02 22:13:15 +0000 2018,0.0,1.0,0.0,"F8 2018: Open AI Frameworks, New AR/VR Advancements, and Other Highlights from Day 2 https://t.co/pYvmchgSny",19
19,-0.5423,Wed May 02 17:00:33 +0000 2018,0.212,0.788,0.0,F8 2018: Using Technology to Remove the Bad Stuff Before It’s Even Reported https://t.co/YeRSbE54Xt,20
20,0.0,Tue May 01 17:31:00 +0000 2018,0.0,1.0,0.0,F8 2018: Oculus Go Available Now for $199 https://t.co/kzECKUIwp5,21
21,0.0,Tue May 01 17:30:07 +0000 2018,0.0,1.0,0.0,F8 2018: New Tools for Businesses and People to Deepen Connections in Messenger https://t.co/bMDFWthINS,22
22,0.4215,Tue May 01 17:30:02 +0000 2018,0.0,0.843,0.157,"F8 2018: Sharing to Stories, AR Camera Effects, Oculus Go and More Highlights from Day 1 https://t.co/bexKCsZ7Wb",23
23,0.3818,Tue May 01 15:47:38 +0000 2018,0.0,0.776,0.224,Getting Feedback on New Tools to Protect People’s Privacy https://t.co/NZlCFRhWyD,24
