,Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago
0,0.2714,Tue Jun 19 01:00:01 +0000 2018,0.0,0.793,0.207,#Selflove is important. Tell us how you practice it!https://t.co/1oZ9lbW2G1,1
1,0.1779,Mon Jun 18 21:58:02 +0000 2018,0.0,0.856,0.144,"Want to create a #rewardsprogram for your business but don't know where to start? Here are some #businesstips 
https://t.co/X4W8voQ4G3",2
2,0.8653,Mon Jun 18 11:00:59 +0000 2018,0.0,0.628,0.372,@cschwab24 Hello Chris and thank you for reaching out. Very happy to hear how well everything turned out for you! W… https://t.co/SpLeF3GX9G,3
3,0.9022,Sun Jun 17 19:04:28 +0000 2018,0.0,0.448,0.552,"May your day be filled with #dadjokes, laughter, and love. Happy #FathersDay",4
4,0.5106,Fri Jun 15 19:34:15 +0000 2018,0.0,0.798,0.202,@Hannah_Arnold1 Hello Hannah. Thank you for reaching out to us. Are you currently a staff member or client of a business?,5
5,0.5719,Fri Jun 15 19:08:32 +0000 2018,0.0,0.709,0.291,Happy #FRIYAY - are you planning to take a class this weekend?https://t.co/C7lKzrwFNa,6
6,0.6369,Fri Jun 15 18:23:42 +0000 2018,0.0,0.776,0.224,@ChrisChiera Thanks for the feedback Chris. We will make sure to pass this feature request to our development team.… https://t.co/Ga2nGqo7Zx,7
7,0.7574,Fri Jun 15 18:12:12 +0000 2018,0.0,0.649,0.351,"@ChrisChiera (2/2) Here is an article to create those links. Have a great day! 
https://t.co/rPOTwoJkpA",8
8,0.2598,Fri Jun 15 18:11:51 +0000 2018,0.088,0.743,0.168,@ChrisChiera (1/2) Hello Chris. Thank you for reaching out to us. At the moment we do not support universal links t… https://t.co/t48jlYbz4q,9
9,0.2732,Thu Jun 14 19:30:50 +0000 2018,0.133,0.644,0.223,@sixfishesphilly Hi Cara. We understand your frustration and appreciate your concerns. If you would like to direct… https://t.co/1LEajyrnXY,10
10,0.0,Thu Jun 14 03:13:24 +0000 2018,0.0,1.0,0.0,"Did you know? #guthealth has a big effect on the human body. 
https://t.co/N2CSvupvub",11
