Date,Open,High,Low,Close,Adj Close,Volume
8/14/2015,12.01,12.55,11.82,12.33,12.33,129200
8/17/2015,12.37,13.03,12.37,12.8,12.8,157100
8/18/2015,12.8,13.14,12.461,13.02,13.02,226500
8/19/2015,13.01,13.435,12.93,13.28,13.28,217200
8/20/2015,12.92,13.6,12.86,13.37,13.37,256000
8/21/2015,13.11,13.815,12.72,13.74,13.74,115400
8/24/2015,12.82,14.04,11.94,13.74,13.74,229800
8/25/2015,13.93,14.2,12.78,12.8,12.8,421700
8/26/2015,13.26,13.474,11.92,12.06,12.06,261700
8/27/2015,12.3,13.18,11.8,13.18,13.18,166700
8/28/2015,13.25,13.8,13.07,13.74,13.74,144800
8/31/2015,13.79,14.135,13.34,14.02,14.02,111300
9/1/2015,14,14.1,13.56,14.03,14.03,184500
9/2/2015,14.1,15.28,13.78,14.96,14.96,168900
9/3/2015,14.95,15.63,14.44,15.54,15.54,207000
9/4/2015,15.16,15.65,15.134,15.45,15.45,121200
9/8/2015,15.27,15.75,15.184,15.68,15.68,165000
9/9/2015,15.92,16,15.01,15.14,15.14,118300
9/10/2015,15.18,15.18,14.27,14.87,14.87,261300
9/11/2015,14.83,14.98,14.12,14.27,14.27,169100
9/14/2015,14.54,15.9,14.16,15.51,15.51,265100
9/15/2015,15.5,15.85,15,15.69,15.69,275000
9/16/2015,15.79,15.85,15.15,15.73,15.73,205900
9/17/2015,15.43,16.07,15.41,15.77,15.77,151200
9/18/2015,15.61,16.1,15.22,15.66,15.66,624100
9/21/2015,15.74,15.9,15.45,15.66,15.66,92900
9/22/2015,15.38,16.23,15.38,15.75,15.75,269800
9/23/2015,16.110001,16.17,15.59,15.87,15.87,139900
9/24/2015,15.66,16,15.275,15.9,15.9,450100
9/25/2015,16.200001,17.450001,15.9,16.76,16.76,673000
9/28/2015,15.84,16.26,14.75,15.71,15.71,815300
9/29/2015,15.83,16.115,15.05,15.98,15.98,303200
9/30/2015,15.95,16.4,15.52,15.63,15.63,1144700
10/1/2015,15.74,16.200001,14.6,14.67,14.67,333000
10/2/2015,14.51,15.28,14.17,15.27,15.27,245600
10/5/2015,15.25,15.44,14.34,14.81,14.81,91500
10/6/2015,14.75,15.45,14.41,14.85,14.85,115500
10/7/2015,14.83,15.25,14.78,15.18,15.18,106000
10/8/2015,15.25,15.88,15.101,15.48,15.48,156100
10/9/2015,15.4,16.91,15.4,16.34,16.34,431700
10/12/2015,16.18,17.705999,16.18,17,17,407200
10/13/2015,17.459999,17.790001,16.934,17.389999,17.389999,231800
10/14/2015,18,18,16.52,16.9,16.9,253800
10/15/2015,16.9,17.191,16.74,16.99,16.99,197900
10/16/2015,17.08,17.190001,16.41,16.99,16.99,182500
10/19/2015,16.940001,17.16,16.74,17.030001,17.030001,23700
10/20/2015,16.99,17.4,16.799999,16.99,16.99,47900
10/21/2015,17.059999,17.51,16.160999,16.48,16.48,134400
10/22/2015,16.48,17.09,16.440001,16.6,16.6,70900
10/23/2015,16.799999,16.959999,16.450001,16.559999,16.559999,68300
10/26/2015,16.58,16.950001,15.71,16.139999,16.139999,113600
10/27/2015,16.059999,16.379999,15.51,15.79,15.79,172300
10/28/2015,15.93,15.932,15.13,15.55,15.55,114200
10/29/2015,15.45,16.5,15.45,15.98,15.98,75800
10/30/2015,16.040001,16.219999,15.58,15.64,15.64,54000
11/2/2015,15.64,15.885,15.27,15.58,15.58,117900
11/3/2015,15.49,16.110001,15.4,15.89,15.89,102500
11/4/2015,15.87,16.16,14.86,15.3,15.3,226700
11/5/2015,15.42,16.9,14.77,16.719999,16.719999,283700
11/6/2015,16.75,17.697001,16.559999,17.07,17.07,220900
11/9/2015,17.07,17.440001,15.46,15.81,15.81,98700
11/10/2015,15.8,16.5,15.46,16.07,16.07,165400
11/11/2015,16.17,16.26,15.23,15.9,15.9,104400
11/12/2015,15.82,16.110001,15.68,15.97,15.97,49000
11/13/2015,15.84,15.93,15.5,15.86,15.86,133100
11/16/2015,15.83,16.030001,15.69,15.85,15.85,31900
11/17/2015,15.82,16.559999,15.46,16.5,16.5,101800
11/18/2015,16.5,17.478001,15.92,16.99,16.99,86800
11/19/2015,17.01,17.450001,16.66,16.940001,16.940001,84700
11/20/2015,17.049999,18.389999,17.01,17.860001,17.860001,234600
11/23/2015,18,18.375999,17.52,18,18,81200
11/24/2015,17.969999,18.045,17.49,17.99,17.99,55900
11/25/2015,18.049999,18.15,17.9,17.99,17.99,45900
11/27/2015,18,18,17.68,17.969999,17.969999,27000
11/30/2015,17.969999,18,17.65,17.65,17.65,77200
12/1/2015,17.950001,17.950001,17.389999,17.68,17.68,102600
12/2/2015,17.620001,17.620001,17,17.43,17.43,66700
12/3/2015,17.73,18.254999,17.32,17.700001,17.700001,53200
12/4/2015,18.02,18.299999,16.860001,17.08,17.08,101200
12/7/2015,16.85,17.285,16.4,16.629999,16.629999,100800
12/8/2015,16.5,16.799999,15.97,16.07,16.07,208200
12/9/2015,15.77,15.8,15,15.08,15.08,159000
12/10/2015,15.08,15.21,14.66,15.12,15.12,104100
12/11/2015,14.9,15.31,14.6,15.17,15.17,113100
12/14/2015,15.15,16.27,14.81,15.07,15.07,235700
12/15/2015,15.14,15.5,14.811,15.24,15.24,54400
12/16/2015,15.13,15.92,14.89,15.04,15.04,600800
