date,close,volume,open,high,low
6/19/2018,40.88,644824,40.56,41.03,40.56
6/18/2018,41.65,923037,41.81,41.85,41.24
6/15/2018,42.99,1107737,42.62,43.04,42.59
6/14/2018,42.56,961964,42.815,42.94,42.42
6/13/2018,44.33,880138,44.17,44.43,44.05
6/12/2018,47.08,850051,47.55,48.64,47.03
6/11/2018,47.63,377002,47.498,47.93,47.21
6/8/2018,47.515,346069,47.11,47.54,47.11
6/7/2018,46.31,515400,46.57,46.74,46.17
6/6/2018,45.09,726387,45.03,45.28,44.9
6/5/2018,46.765,453806,46.705,46.8,46.5554
6/4/2018,47.05,959646,46.878,47.31,46.84
6/1/2018,50.05,600444,49.425,50.36,49.36
5/31/2018,51.04,319019,51.32,51.56,51
5/30/2018,51.34,491318,51.11,51.63,50.8
5/29/2018,48.4,346663,48.15,48.6,48.15
5/25/2018,48.24,360711,48.29,48.53,48.13
5/24/2018,47.92,809127,48.4,48.64,47.6
5/23/2018,49.2,335486,49.018,49.27,48.95
5/22/2018,49.76,254042,49.975,50.1,49.75
5/21/2018,49.905,279058,50.144,50.27,49.89
5/18/2018,51.17,436651,51.64,51.64,51.16
5/17/2018,52.5,67225,52.41,52.69,52.32
5/16/2018,52.18,128598,51.64,52.26,51.64
5/15/2018,52.01,203722,52,52.26,51.92
5/14/2018,52.26,173189,52.55,52.64,52.22
5/11/2018,52.65,314026,52.6,52.93,52.6
5/10/2018,52.15,543910,51.79,52.42,51.79
5/9/2018,53.15,471712,52.87,53.25,52.6
5/8/2018,54.42,477195,53.95,54.48,53.65
5/7/2018,53.525,192650,53.2,53.64,53.09
5/4/2018,53.41,187805,52.27,53.42,52.27
5/3/2018,52.57,167448,52.15,52.6,52.02
5/2/2018,52.02,297732,52.12,52.9,52.01
5/1/2018,53,283120,52.5,53,52.262
4/30/2018,52.48,121516,52.5,52.715,52.38
4/27/2018,52.43,402815,52.85,53,52.32
4/26/2018,51.56,776596,51.275,51.56,50.7
4/25/2018,52.85,451444,53.025,53.24,52.4
4/24/2018,52.02,574309,53.21,53.25,51.68
4/23/2018,53.45,315125,53.62,53.65,53.05
4/20/2018,53.27,621432,53.4,53.4,52.72
4/19/2018,51.2,245353,51.25,51.38,50.7684
4/18/2018,51.81,219200,51.68,51.9,51.5
4/17/2018,51.676,1810832,51.76,52.02,51.51
4/16/2018,51.85,373991,52.48,52.48,51.65
4/13/2018,52.43,190294,52.67,52.9,52.29
4/12/2018,52.78,259290,52.59,52.856,52.35
4/11/2018,52.24,267703,52.4,52.52,52.04
4/10/2018,52.73,545083,52.752,52.83,52.3
4/9/2018,52.91,258075,52.73,53.5,52.73
4/6/2018,51.78,529390,52.735,52.99,51.3
4/5/2018,53.03,313598,53.17,53.45,53
4/4/2018,53.63,479003,53.18,53.68,52.61
4/3/2018,54.79,178380,54.46,54.83,54.22
4/2/2018,55.11,403152,55.98,55.98,54.752
3/29/2018,55.51,165146,54.9,55.59,54.71
3/28/2018,54.41,277573,54.75,55.18,54.21
3/27/2018,55.35,367952,56.56,56.92,55.12
3/26/2018,57,260396,56.28,57.08,56.03
3/23/2018,56.25,239332,56.61,57.05,56.18
3/22/2018,56.5,261256,57.78,57.78,56.46
3/21/2018,57.02,179354,57.155,57.32,56.885
3/20/2018,57.045,196571,56.32,57.16,56.32
3/19/2018,56.4,611557,56.55,57,56.3009
3/16/2018,57.71,133580,57.25,57.95,57.25
3/15/2018,57.9,566291,57.44,57.96,57.4
3/14/2018,56.5,108869,57.1,57.1,56.48
3/13/2018,56.64,218282,57.45,57.45,56.34
3/12/2018,56.6,386240,56.915,57.23,56.47
3/9/2018,57.3,265521,56.65,57.35,56.58
3/8/2018,56.85,252077,57,57.04,56.51
3/7/2018,55.45,479728,55.02,55.47,54.6
3/6/2018,56.52,171421,56.28,56.52,56.05
3/5/2018,55.48,272752,54.6,55.53,54.45
3/2/2018,57.435,321710,56.25,57.46,56.2
3/1/2018,55.3,302726,55.74,56.46,55
2/28/2018,57.05,159044,57.22,57.55,56.9
2/27/2018,56.86,277463,57.45,57.71,56.83
2/26/2018,57.4,195730,57.2,57.4,56.92
2/23/2018,56.91,345589,56.63,56.95,56.1
2/22/2018,55.2,244464,55.48,55.55,54.79
2/21/2018,55.31,513412,55.59,55.8,55.27
2/20/2018,54.25,452141,54.31,54.97,54.19
2/16/2018,54.15,228159,54.125,54.32,53.92
2/15/2018,54.05,323514,54,54.2,53.55
2/14/2018,52.82,313796,51.29,52.82,51.04
2/13/2018,51.785,335057,51.32,51.88,51.11
2/12/2018,51.245,432868,50.445,51.55,50.4
2/9/2018,50.24,526910,49.8,50.25,48.25
2/8/2018,49.3,709090,50.85,50.85,49.1
2/7/2018,51.65,470967,52.35,52.44,51.58
2/6/2018,52.45,790665,50.58,52.54,50.35
2/5/2018,51.49,546415,52.66,53.37,51.49
2/2/2018,52.52,527235,53.23,53.52,52.5
2/1/2018,55.15,745551,54.8,55.24,54.3
